"","FY","VendorSize","Place","Area","CrisisFunding","Amount","Actions"
"99",2002,"Big Five","Domestic","R&D","Residual",23.9041601239696,NA
"100",2002,"Big Five","Iraq","Products","Residual",0,1
"101",2002,"Big Five","Regional Support","Products","Residual",0.00592996181754117,20
"102",2002,"Big Five","Regional Support","Services","Residual",0.017280207706822,19
"103",2002,"Big Five","Regional Support","R&D","Residual",0.00215564755344841,2
"104",2002,"Big Five","Rest of World","Products","Residual",0.0907945519125934,152
"105",2002,"Big Five","Rest of World","Services","Residual",0.425534415083968,902
"106",2002,"Big Five","Rest of World","R&D","Residual",0.16119736509219,16
"107",2002,"Large","Afghanistan","Products","Residual",0.00114693208299998,2
"108",2002,"Large","Afghanistan","Services","Residual",0.000503928466321767,4
"109",2002,"Large","Domestic","Products","Disaster",0.00204251194005139,62
"110",2002,"Large","Domestic","Products","Residual",29.1496960899237,NA
"111",2002,"Large","Domestic","Services","Disaster",2.54489181814309,NA
"112",2002,"Large","Domestic","Services","Residual",43.3562654546025,NA
"113",2002,"Large","Domestic","R&D","Disaster",0.000391258004986225,8
"114",2002,"Large","Domestic","R&D","Residual",23.126812227667,NA
"115",2002,"Large","Regional Support","Products","Residual",0.808910587916549,39
"116",2002,"Large","Regional Support","Services","Residual",0.0686907445862217,43
"117",2002,"Large","Regional Support","R&D","Residual",0.000172580717847195,2
"118",2002,"Large","Rest of World","Products","Residual",1.86327032585961,1540
"119",2002,"Large","Rest of World","Services","Residual",2.58961659822727,2408
"120",2002,"Large","Rest of World","R&D","Residual",0.116912121849831,75
"121",2002,"Medium","Afghanistan","Products","Residual",0.000495719196939739,2
"122",2002,"Medium","Afghanistan","Services","Residual",0.181081175077717,14
"123",2002,"Medium","Domestic","Products","Disaster",0.0174602574377705,54
"124",2002,"Medium","Domestic","Products","Residual",19.0973298484557,NA
"125",2002,"Medium","Domestic","Services","Disaster",0.392873297350915,NA
"126",2002,"Medium","Domestic","Services","Residual",50.8309322112618,NA
"127",2002,"Medium","Domestic","R&D","Disaster",0.000157936401946179,1
"128",2002,"Medium","Domestic","R&D","Residual",11.8351039634992,NA
"129",2002,"Medium","Regional Support","Products","Residual",0.108975145839558,417
"130",2002,"Medium","Regional Support","Services","Residual",0.625440648987173,1395
"131",2002,"Medium","Regional Support","R&D","Residual",0.000201123777344982,32
"132",2002,"Medium","Rest of World","Products","Residual",3.07957429454776,5732
"133",2002,"Medium","Rest of World","Services","Residual",4.84057074099466,23324
"134",2002,"Medium","Rest of World","R&D","Residual",0.16063278478407,359
"135",2002,"Small","Afghanistan","Services","Residual",0.00725275194691289,8
"136",2002,"Small","Domestic","Products","Disaster",0.0236700361294105,267
"137",2002,"Small","Domestic","Products","Residual",17.9536745227204,NA
"138",2002,"Small","Domestic","Services","Disaster",0.115548273412496,NA
"139",2002,"Small","Domestic","Services","Residual",42.0324128021527,NA
"140",2002,"Small","Domestic","R&D","Disaster",0.0108187604858316,56
"141",2002,"Small","Domestic","R&D","Residual",4.03082285816982,NA
"142",2002,"Small","Regional Support","Products","Residual",0.00144402204665012,12
"143",2002,"Small","Regional Support","Services","Residual",0.00234117145965752,18
"144",2002,"Small","Rest of World","Products","Residual",0.0615447567725386,935
"145",2002,"Small","Rest of World","Services","Residual",0.111121152305839,577
"146",2002,"Small","Rest of World","R&D","Residual",0.00285736266332557,5
"147",2003,"Big Five","Afghanistan","Products","Residual",0.00797603544144654,13
"148",2003,"Big Five","Afghanistan","Services","Residual",0.00637256000581312,29
"149",2003,"Big Five","Domestic","Products","Disaster",0.0136332952538533,21
"150",2003,"Big Five","Domestic","Products","Residual",53.3416581666265,20173
"151",2003,"Big Five","Domestic","Services","Disaster",0.745195271009909,835
"152",2003,"Big Five","Domestic","Services","Residual",22.0905110495325,20550
"153",2003,"Big Five","Domestic","R&D","Disaster",0.0227368578682569,32
"154",2003,"Big Five","Domestic","R&D","Residual",25.0974596715016,7610
"155",2003,"Big Five","Iraq","Products","Residual",0.003911903351793,4
"156",2003,"Big Five","Iraq","Services","Residual",0.0821692970614848,5
"157",2003,"Big Five","Regional Support","Products","Residual",0.336107760469291,14
"158",2003,"Big Five","Regional Support","Services","Residual",0.0279991155200002,77
"159",2003,"Big Five","Rest of World","Products","Residual",0.284186155212539,273
"160",2003,"Big Five","Rest of World","Services","Residual",0.720037926735427,871
"161",2003,"Big Five","Rest of World","R&D","Residual",0.0049679400557484,21
"162",2003,"Large","Afghanistan","Products","Residual",0.000272724144890004,1
"163",2003,"Large","Afghanistan","Services","Residual",0.432285870768052,78
"164",2003,"Large","Domestic","Products","Disaster",0.0041091535588959,94
"165",2003,"Large","Domestic","Products","Residual",38.4441921666343,125376
"166",2003,"Large","Domestic","Services","Disaster",2.56336572428549,735
"167",2003,"Large","Domestic","Services","Residual",52.4439055964645,86327
"168",2003,"Large","Domestic","R&D","Disaster",0.00260794806197781,11
"169",2003,"Large","Domestic","R&D","Residual",28.7272320582436,9321
"170",2003,"Large","Iraq","Products","Residual",0.000135711947591303,1
"171",2003,"Large","Iraq","Services","Residual",4.97395308378517,114
"172",2003,"Large","Regional Support","Products","Residual",0.68337110649208,49
"173",2003,"Large","Regional Support","Services","Residual",0.895769340303189,228
"174",2003,"Large","Regional Support","R&D","Residual",0.0136601248596448,10
"175",2003,"Large","Rest of World","Products","Residual",2.38844838331785,1881
"176",2003,"Large","Rest of World","Services","Residual",2.77524983967249,3273
"177",2003,"Large","Rest of World","R&D","Residual",0.227766542982675,104
"178",2003,"Medium","Afghanistan","Products","Residual",0.00787087677698962,17
"179",2003,"Medium","Afghanistan","Services","Residual",0.291167746248747,144
"180",2003,"Medium","Domestic","Products","Disaster",0.0159446429156282,82
"181",2003,"Medium","Domestic","Products","Residual",26.5283803378972,133733
"182",2003,"Medium","Domestic","Services","Disaster",0.344367973562382,1328
"183",2003,"Medium","Domestic","Services","Residual",53.4176589013164,NA
"184",2003,"Medium","Domestic","R&D","Disaster",0.000925648542193891,6
"185",2003,"Medium","Domestic","R&D","Residual",12.0756159307876,10319
"186",2003,"Medium","Iraq","Products","Residual",0.0210630241890132,36
"187",2003,"Medium","Iraq","Services","Residual",0.122893126440598,46
"188",2003,"Medium","Iraq","R&D","Residual",0.00570311752574527,2
"189",2003,"Medium","Regional Support","Products","Residual",0.36092964666787,1513
"190",2003,"Medium","Regional Support","Services","Residual",1.26798397369856,2623
"191",2003,"Medium","Regional Support","R&D","Residual",0.00100114703738104,25
"192",2003,"Medium","Rest of World","Products","Residual",2.79937807166583,8303
"193",2003,"Medium","Rest of World","Services","Residual",6.18947861522825,26334
"194",2003,"Medium","Rest of World","R&D","Residual",0.228393577947786,397
"195",2003,"Small","Afghanistan","Services","Residual",0.0130466887616057,15
"196",2003,"Small","Domestic","Products","Disaster",0.0475562388372076,422
"197",2003,"Small","Domestic","Products","Residual",21.9771879514309,219961
"198",2003,"Small","Domestic","Services","Disaster",0.150026792123444,1283
"199",2003,"Small","Domestic","Services","Residual",43.7577769980061,NA
"200",2003,"Small","Domestic","R&D","Disaster",0.027576463536384,91
"201",2003,"Small","Domestic","R&D","Residual",4.66506951701126,15247
"202",2003,"Small","Iraq","Products","Residual",0.000288868696674414,2
"203",2003,"Small","Iraq","Services","Residual",0.000324639781070003,2
"204",2003,"Small","Regional Support","Products","Residual",0.00243130533929318,21
"205",2003,"Small","Regional Support","Services","Residual",0.00329449541742113,24
"206",2003,"Small","Rest of World","Products","Residual",0.0750041164273315,1065
"207",2003,"Small","Rest of World","Services","Residual",0.13627130857919,717
"208",2003,"Small","Rest of World","R&D","Residual",0.0123343057288252,14
"209",2004,"Big Five","Afghanistan","Products","Residual",0.00277840053389623,20
"210",2004,"Big Five","Afghanistan","Services","Residual",0.108275869170878,26
"211",2004,"Big Five","Domestic","Products","Disaster",0.0013288460566893,11
"212",2004,"Big Five","Domestic","Products","Residual",58.8570888442093,41721
"213",2004,"Big Five","Domestic","Services","Disaster",0.551546015469996,576
"214",2004,"Big Five","Domestic","Services","Residual",20.2483351384501,23030
"215",2004,"Big Five","Domestic","R&D","Disaster",0.872104023251446,101
"216",2004,"Big Five","Domestic","R&D","Residual",26.314627399147,7345
"217",2004,"Big Five","Iraq","Products","Residual",0.0109453182658904,41
"218",2004,"Big Five","Iraq","Services","Residual",0.130119933581829,132
"219",2004,"Big Five","Regional Support","Products","Residual",0.395857764998339,37
"220",2004,"Big Five","Regional Support","Services","Residual",0.12788098188797,46
"221",2004,"Big Five","Regional Support","R&D","Residual",0.000748710858812749,1
"222",2004,"Big Five","Rest of World","Products","Residual",0.165179311476504,978
"223",2004,"Big Five","Rest of World","Services","Residual",0.525216692656118,1577
"224",2004,"Big Five","Rest of World","R&D","Residual",0.00559307318651825,29
"225",2004,"Large","Afghanistan","Products","Residual",0.0164283734080292,22
"226",2004,"Large","Afghanistan","Services","Residual",0.819349844375653,103
"227",2004,"Large","Domestic","Products","Disaster",0.00890577299430859,43
"228",2004,"Large","Domestic","Products","Residual",44.4052504187762,175217
"229",2004,"Large","Domestic","Services","Disaster",2.70856781256166,845
"230",2004,"Large","Domestic","Services","Residual",56.1924187853248,NA
"231",2004,"Large","Domestic","R&D","Disaster",0.0210166221984892,51
"232",2004,"Large","Domestic","R&D","Residual",18.7969433590995,9579
"233",2004,"Large","Iraq","Products","Residual",0.0127406986166745,13
"234",2004,"Large","Iraq","Services","Residual",9.59657338131192,285
"235",2004,"Large","Regional Support","Products","Residual",0.653347736647118,96
"236",2004,"Large","Regional Support","Services","Residual",2.31960650357146,272
"237",2004,"Large","Regional Support","R&D","Residual",0.0375102093557509,25
"238",2004,"Large","Rest of World","Products","Residual",2.42952531111884,2368
"239",2004,"Large","Rest of World","Services","Residual",2.69576337059576,14993
"240",2004,"Large","Rest of World","R&D","Residual",0.206803136516415,81
"241",2004,"Medium","Afghanistan","Products","Residual",0.118121038883829,54
"242",2004,"Medium","Afghanistan","Services","Residual",0.466678742397306,265
"243",2004,"Medium","Domestic","Products","Disaster",0.00546905280252899,86
"244",2004,"Medium","Domestic","Products","Residual",23.1712810293747,289510
"245",2004,"Medium","Domestic","Services","Disaster",0.340464301021518,1444
"246",2004,"Medium","Domestic","Services","Residual",53.8585688378822,NA
"247",2004,"Medium","Domestic","R&D","Disaster",0.0181313538245054,51
"248",2004,"Medium","Domestic","R&D","Residual",11.957917314337,13290
"249",2004,"Medium","Iraq","Products","Residual",0.502591160825992,104
"250",2004,"Medium","Iraq","Services","Residual",1.58123318125208,333
"251",2004,"Medium","Iraq","R&D","Residual",-0.000642347554209263,5
"252",2004,"Medium","Regional Support","Products","Residual",0.517838064115711,1862
"253",2004,"Medium","Regional Support","Services","Residual",1.35365527152952,2494
"254",2004,"Medium","Regional Support","R&D","Residual",0.000502113441683779,14
"255",2004,"Medium","Rest of World","Products","Residual",3.67220221174738,19222
"256",2004,"Medium","Rest of World","Services","Residual",6.3734486645944,33188
"257",2004,"Medium","Rest of World","R&D","Residual",0.251187785565472,397
"258",2004,"Small","Afghanistan","Products","Residual",0.000777763464958561,23
"259",2004,"Small","Afghanistan","Services","Residual",0.0164671834316804,21
"260",2004,"Small","Afghanistan","R&D","Residual",7.5004606792617e-05,3
"261",2004,"Small","Domestic","Products","Disaster",0.0487494329549147,539
"262",2004,"Small","Domestic","Products","Residual",24.255646923045,624708
"263",2004,"Small","Domestic","Services","Disaster",0.180801572834268,1408
"264",2004,"Small","Domestic","Services","Residual",42.7341871027043,364705
"265",2004,"Small","Domestic","R&D","Disaster",0.0696979459488609,188
"266",2004,"Small","Domestic","R&D","Residual",5.21521215486677,19023
"267",2004,"Small","Iraq","Products","Residual",0.00150601164269096,19
"268",2004,"Small","Iraq","Services","Residual",0.483994917013447,52
"269",2004,"Small","Iraq","R&D","Residual",0.000344949718954414,8
"270",2004,"Small","Regional Support","Products","Residual",0.00423736021855624,37
"271",2004,"Small","Regional Support","Services","Residual",0.00609460399035298,33
"272",2004,"Small","Regional Support","R&D","Residual",9.63579394836326e-05,5
"273",2004,"Small","Rest of World","Products","Residual",0.11032109721865,1625
"274",2004,"Small","Rest of World","Services","Residual",0.3068246095941,1284
"275",2004,"Small","Rest of World","R&D","Residual",0.010152445009839,48
"276",2005,"Big Five","Afghanistan","Products","Residual",0.0570466996564672,565
"277",2005,"Big Five","Afghanistan","Services","Residual",0.285865905950719,2180
"278",2005,"Big Five","Afghanistan","R&D","Residual",3.50417125981416e-05,1
"279",2005,"Big Five","Domestic","Products","Disaster",0.00834101968425167,166
"280",2005,"Big Five","Domestic","Products","Residual",50.168477160098,NA
"281",2005,"Big Five","Domestic","Services","Disaster",0.328575489758672,NA
"282",2005,"Big Five","Domestic","Services","Residual",23.4397318397454,NA
"283",2005,"Big Five","Domestic","R&D","Disaster",0.796768006495147,47
"284",2005,"Big Five","Domestic","R&D","Residual",29.7091249233828,NA
"285",2005,"Big Five","Iraq","Products","Residual",6.74481854422479,15566
"286",2005,"Big Five","Iraq","Services","Residual",0.627097667353839,1022
"287",2005,"Big Five","Iraq","R&D","Residual",0.00329522126040677,24
"288",2005,"Big Five","Regional Support","Products","Residual",0.248743359553155,6644
"289",2005,"Big Five","Regional Support","Services","Residual",0.0407994549164328,666
"290",2005,"Big Five","Regional Support","R&D","Residual",0.0829717870566674,3
"291",2005,"Big Five","Rest of World","Products","Residual",0.504346266030797,123695
"292",2005,"Big Five","Rest of World","Services","Residual",1.23846566990555,12900
"293",2005,"Big Five","Rest of World","R&D","Residual",0.641102456935763,118
"294",2005,"Large","Afghanistan","Products","Residual",0.00373761358035716,19
"295",2005,"Large","Afghanistan","Services","Residual",1.29840236412125,224
"296",2005,"Large","Afghanistan","R&D","Residual",0.074302273535947,2
"297",2005,"Large","Domestic","Products","Disaster",0.209445926764026,255
"298",2005,"Large","Domestic","Products","Residual",50.0685234074519,NA
"299",2005,"Large","Domestic","Services","Disaster",3.27226850830983,NA
"300",2005,"Large","Domestic","Services","Residual",61.1642491666286,NA
"301",2005,"Large","Domestic","R&D","Disaster",0.0307688626929232,NA
"302",2005,"Large","Domestic","R&D","Residual",19.8542594060844,NA
"303",2005,"Large","Iraq","Products","Residual",0.00266648762707772,19
"304",2005,"Large","Iraq","Services","Residual",8.01368468531487,392
"305",2005,"Large","Iraq","R&D","Residual",0.0545646379312489,2
"306",2005,"Large","Regional Support","Products","Residual",1.26451424402335,95
"307",2005,"Large","Regional Support","Services","Residual",1.1942420091439,358
"308",2005,"Large","Regional Support","R&D","Residual",0.00909523343892984,19
"309",2005,"Large","Rest of World","Products","Residual",2.74669757326157,3615
"310",2005,"Large","Rest of World","Services","Residual",2.8518784036989,18476
"311",2005,"Large","Rest of World","R&D","Residual",0.240661771958793,131
"312",2005,"Medium","Afghanistan","Products","Residual",0.0616296703130871,92
"313",2005,"Medium","Afghanistan","Services","Residual",0.926815341381576,4726
"314",2005,"Medium","Afghanistan","R&D","Residual",0.00534377959958348,2
"315",2005,"Medium","Domestic","Products","Disaster",1.99343688715392,NA
"316",2005,"Medium","Domestic","Products","Residual",33.2437169284944,NA
"317",2005,"Medium","Domestic","Services","Disaster",1.10829717140074,NA
"318",2005,"Medium","Domestic","Services","Residual",54.8916592322388,NA
"319",2005,"Medium","Domestic","R&D","Disaster",0.0713516485958816,73
"320",2005,"Medium","Domestic","R&D","Residual",12.8587075193395,NA
"321",2005,"Medium","Iraq","Products","Residual",0.170181320481962,175
"322",2005,"Medium","Iraq","Services","Residual",2.63831188626591,565
"323",2005,"Medium","Iraq","R&D","Residual",-8.86671476998629e-05,1
"324",2005,"Medium","Regional Support","Products","Residual",0.623689133111653,3053
"325",2005,"Medium","Regional Support","Services","Residual",1.11360503858968,3121
"326",2005,"Medium","Regional Support","R&D","Residual",0.00370998066612284,14
"327",2005,"Medium","Rest of World","Products","Disaster",0.000178003913283437,5
"328",2005,"Medium","Rest of World","Products","Residual",4.48250602861546,53409
"329",2005,"Medium","Rest of World","Services","Disaster",4.23013444472208e-06,1
"330",2005,"Medium","Rest of World","Services","Residual",6.20569728373706,45624
"331",2005,"Medium","Rest of World","R&D","Disaster",0.0158334192321184,1
"332",2005,"Medium","Rest of World","R&D","Residual",0.215426167667339,644
"333",2005,"Small","Afghanistan","Products","Residual",0.0114215462447272,12
"334",2005,"Small","Afghanistan","Services","Residual",0.0133629664773521,31
"335",2005,"Small","Afghanistan","R&D","Residual",0.000301819912442835,3
"336",2005,"Small","Domestic","Products","Disaster",0.911738373207059,NA
"337",2005,"Small","Domestic","Products","Residual",30.2314687101657,NA
"338",2005,"Small","Domestic","Services","Disaster",0.998412059567283,NA
"339",2005,"Small","Domestic","Services","Residual",48.4306122902533,NA
"340",2005,"Small","Domestic","R&D","Disaster",0.0157043217740871,46
"341",2005,"Small","Domestic","R&D","Residual",5.82781339602596,NA
"342",2005,"Small","Iraq","Products","Residual",0.0137227429498931,15
"343",2005,"Small","Iraq","Services","Residual",0.827878484016522,114
"344",2005,"Small","Regional Support","Products","Residual",0.00577159711407598,48
"345",2005,"Small","Regional Support","Services","Residual",0.0459974356435274,138
"346",2005,"Small","Regional Support","R&D","Residual",9.35030063073196e-06,1
"347",2005,"Small","Rest of World","Products","Disaster",0,2
"348",2005,"Small","Rest of World","Products","Residual",0.112501747906606,1853
"349",2005,"Small","Rest of World","Services","Residual",0.482708551549373,1967
"350",2005,"Small","Rest of World","R&D","Residual",0.00997949351235539,74
"351",2006,"Big Five","Afghanistan","Products","Residual",0.401754689097902,11663
"352",2006,"Big Five","Afghanistan","Services","Residual",0.310511430236474,270
"353",2006,"Big Five","Afghanistan","R&D","Residual",0.0366600778869134,9
"354",2006,"Big Five","Domestic","Products","Disaster",0.254888027244488,108
"355",2006,"Big Five","Domestic","Products","Residual",58.5446621370072,NA
"356",2006,"Big Five","Domestic","Services","Disaster",0.403144286775699,NA
"357",2006,"Big Five","Domestic","Services","Residual",24.0809305413432,NA
"358",2006,"Big Five","Domestic","R&D","Disaster",0.901461984245867,59
"359",2006,"Big Five","Domestic","R&D","Residual",33.3146350446646,NA
"360",2006,"Big Five","Iraq","Products","Residual",5.97908871945623,12818
"361",2006,"Big Five","Iraq","Services","Disaster",0.000975358083598927,2
"362",2006,"Big Five","Iraq","Services","Residual",0.623724109451674,1032
"363",2006,"Big Five","Iraq","R&D","Residual",0.00242772460974774,7
"364",2006,"Big Five","Regional Support","Products","Residual",0.117501632492832,5177
"365",2006,"Big Five","Regional Support","Services","Residual",0.167010732889424,627
"366",2006,"Big Five","Rest of World","Products","Disaster",0.00162341384910734,7
"367",2006,"Big Five","Rest of World","Products","Residual",0.386075022339651,136701
"368",2006,"Big Five","Rest of World","Services","Disaster",1.16973539057984e-06,1
"369",2006,"Big Five","Rest of World","Services","Residual",2.10511965563404,14729
"370",2006,"Big Five","Rest of World","R&D","Residual",0.215839542766958,164
"371",2006,"Large","Afghanistan","Products","Residual",0.00012719308410449,13
"372",2006,"Large","Afghanistan","Services","Residual",1.70910165073976,248
"373",2006,"Large","Afghanistan","R&D","Residual",9.24168274066281e-05,3
"374",2006,"Large","Domestic","Products","Disaster",0.130703518168887,NA
"375",2006,"Large","Domestic","Products","Residual",53.0604359564725,NA
"376",2006,"Large","Domestic","Services","Disaster",6.88734145973143,NA
"377",2006,"Large","Domestic","Services","Residual",65.050627454407,NA
"378",2006,"Large","Domestic","R&D","Disaster",0.513825770542536,NA
"379",2006,"Large","Domestic","R&D","Residual",20.6405900071878,NA
"380",2006,"Large","Iraq","Products","Residual",-0.0016256096448444,10
"381",2006,"Large","Iraq","Services","Disaster",0.0913881992909111,1
"382",2006,"Large","Iraq","Services","Residual",6.98179367656676,463
"383",2006,"Large","Iraq","R&D","Residual",0.00274771692894037,1
"384",2006,"Large","Regional Support","Products","Disaster",0,1
"385",2006,"Large","Regional Support","Products","Residual",3.55571554562589,4066
"386",2006,"Large","Regional Support","Services","Residual",1.21006226801567,537
"387",2006,"Large","Regional Support","R&D","Residual",9.91662594500822e-05,2
"388",2006,"Large","Rest of World","Products","Disaster",0.0002820358532276,16
"389",2006,"Large","Rest of World","Products","Residual",4.99446915678085,4191
"390",2006,"Large","Rest of World","Services","Disaster",0.000549007844680944,5
"391",2006,"Large","Rest of World","Services","Residual",3.06072776981967,7289
"392",2006,"Large","Rest of World","R&D","Residual",0.208986933789731,114
"393",2006,"Medium","Afghanistan","Products","Residual",0.279826692039836,96
"394",2006,"Medium","Afghanistan","Services","Residual",0.842820093717834,527
"395",2006,"Medium","Afghanistan","R&D","Residual",0.00177854029671461,6
"396",2006,"Medium","Domestic","Products","Disaster",0.266472713014151,NA
"397",2006,"Medium","Domestic","Products","Residual",30.3785414172918,NA
"398",2006,"Medium","Domestic","Services","Disaster",4.9700591295356,NA
"399",2006,"Medium","Domestic","Services","Residual",56.2993184158524,NA
"400",2006,"Medium","Domestic","R&D","Disaster",0.091765097212766,NA
"401",2006,"Medium","Domestic","R&D","Residual",10.7155267927456,NA
