"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BSA","BSAtitle","LineNumber","LineItem","LineItemTitle","CostType","CostTypeTitle","LineNumber","AddOrNonAdd","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedTotalQuantity","EnactedType","PBtotal","PBtype","QuantActualTotal","QuantEnactedType","QuantPBtotal","QuantPBtype"
"14",2016,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","11 ","6771AA0005","UH-60 Blackhawk M Model (MYP)","B","Less: Advance Procurement (PY)","11 ","Add","U",2014,"Total",-99940,NA,NA,NA,NA,NA,0,NA,NA,NA
"15",2016,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","12 ","6771AA0005","UH-60 Blackhawk M Model (MYP)","C","Advance Procurement (CY)","12 ","Add","U",2014,"Total",116001,NA,NA,NA,NA,NA,0,NA,NA,NA
"16",2016,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","13 ","6773A05009","UH-60 Black Hawk A and L Models","A","Weapon System Cost","13 ","Add","U",2014,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"17",2016,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","14 ","6775A05101","CH-47 Helicopter","A","Weapon System Cost","14 ","Add","U",2014,"Total",915791,NA,NA,NA,NA,NA,39,NA,NA,NA
"18",2016,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","14 ","6775A05101","CH-47 Helicopter","B","Less: Advance Procurement (PY)","14 ","Add","U",2014,"Total",-77141,NA,NA,NA,NA,NA,0,NA,NA,NA
"19",2016,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","15 ","6775A05101","CH-47 Helicopter","C","Advance Procurement (CY)","15 ","Add","U",2014,"Total",90376,NA,NA,NA,NA,NA,0,NA,NA,NA
"20",2016,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","16 ","0023A01001","MQ-1 Payload (MIP)","A","Weapon System Cost","16 ","Add","U",2014,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"21",2016,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","17 ","0420A00020","MQ-1 Payload - UAS","A","Weapon System Cost","17 ","Add","U",2014,"Total",97781,NA,NA,NA,NA,NA,0,NA,NA,NA
"22",2016,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","18 ","1032AZ2000","Guardrail Mods (MIP)","A","Weapon System Cost","18 ","Add","U",2014,"Total",10262,NA,NA,NA,NA,NA,0,NA,NA,NA
"23",2016,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","19 ","1036AZ2001","Multi Sensor ABN Recon (MIP)","A","Weapon System Cost","19 ","Add","U",2014,"Total",10467,NA,NA,NA,NA,NA,0,NA,NA,NA
"24",2016,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","20 ","2706AA6605","AH-64 Mods","A","Weapon System Cost","20 ","Add","U",2014,"Total",48487,NA,NA,NA,NA,NA,0,NA,NA,NA
"25",2016,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","21 ","3264AA0252","CH-47 Cargo Helicopter Mods (MYP)","A","Weapon System Cost","21 ","Add","U",2014,"Total",91064,NA,NA,NA,NA,NA,0,NA,NA,NA
"26",2016,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","22 ","3403A02111","GRCS SEMA Mods (MIP)","A","Weapon System Cost","22 ","Add","U",2014,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"27",2016,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","23 ","3404A02110","ARL SEMA Mods (MIP)","A","Weapon System Cost","23 ","Add","U",2014,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"28",2016,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","24 ","3405A02112","EMARSS SEMA Mods (MIP)","A","Weapon System Cost","24 ","Add","U",2014,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"29",2016,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","25 ","4194AA0270","Utility/Cargo Airplane Mods","A","Weapon System Cost","25 ","Add","U",2014,"Total",11500,NA,NA,NA,NA,NA,0,NA,NA,NA
"30",2016,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","26 ","6949AA0480","Utility Helicopter Mods","A","Weapon System Cost","26 ","Add","U",2014,"Total",88095,NA,NA,NA,NA,NA,0,NA,NA,NA
"31",2016,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","27 ","7542AZ2200","Kiowa Mods Warrior","A","Weapon System Cost","27 ","Add","U",2014,"Total",108282,NA,NA,NA,NA,NA,0,NA,NA,NA
"32",2016,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","28 ","8658AA0712","Network and Mission Plan","A","Weapon System Cost","28 ","Add","U",2014,"Total",59326,NA,NA,NA,NA,NA,0,NA,NA,NA
"33",2016,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","29 ","8659AA0723","Comms, Nav Surveillance","A","Weapon System Cost","29 ","Add","U",2014,"Total",74613,NA,NA,NA,NA,NA,0,NA,NA,NA
"34",2016,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","30 ","8859AA0711","GATM Rollup","A","Weapon System Cost","30 ","Add","U",2014,"Total",50382,NA,NA,NA,NA,NA,0,NA,NA,NA
"35",2016,"2031A","Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","10","Modification of Aircraft","31 ","9555A00018","RQ-7 UAV MODS","A","Weapon System Cost","31 ","Add","U",2014,"Total",121902,NA,NA,NA,NA,NA,0,NA,NA,NA
"36",2016,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","10","Ground Support Avionics","32 ","3632AZ3504","Aircraft Survivability Equipment","A","Weapon System Cost","32 ","Add","U",2014,"Total",47610,NA,NA,NA,NA,NA,0,NA,NA,NA
"37",2016,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","10","Ground Support Avionics","33 ","5044AZ3507","Survivability CM","A","Weapon System Cost","33 ","Add","U",2014,"Total",5700,NA,NA,NA,NA,NA,0,NA,NA,NA
"38",2016,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","10","Ground Support Avionics","34 ","5397AZ3517","CMWS","A","Weapon System Cost","34 ","Add","U",2014,"Total",103021,NA,NA,NA,NA,NA,0,NA,NA,NA
"39",2016,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","30","Other Support","35 ","0832AZ3000","Avionics Support Equipment","A","Weapon System Cost","35 ","Add","U",2014,"Total",6809,NA,NA,NA,NA,NA,0,NA,NA,NA
"40",2016,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","30","Other Support","36 ","5212AZ3100","Common Ground Equipment","A","Weapon System Cost","36 ","Add","U",2014,"Total",45999,NA,NA,NA,NA,NA,0,NA,NA,NA
"41",2016,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","30","Other Support","37 ","6380AZ3110","Aircrew Integrated Systems","A","Weapon System Cost","37 ","Add","U",2014,"Total",45841,NA,NA,NA,NA,NA,0,NA,NA,NA
"42",2016,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","30","Other Support","38 ","6818AA0050","Air Traffic Control","A","Weapon System Cost","38 ","Add","U",2014,"Total",94192,NA,NA,NA,NA,NA,0,NA,NA,NA
"43",2016,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","30","Other Support","39 ","8132AZ3300","Industrial Facilities","A","Weapon System Cost","39 ","Add","U",2014,"Total",1615,NA,NA,NA,NA,NA,0,NA,NA,NA
"44",2016,"2031A","Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","30","Other Support","40 ","9154A50100","Launcher, 2.75 Rocket","A","Weapon System Cost","40 ","Add","U",2014,"Total",2877,NA,NA,NA,NA,NA,273,NA,NA,NA
"45",2016,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","10","Surface-to-Air Missile System","1  ","7153C50016","Lower Tier Air and Missile Defense (AMD)","A","Weapon System Cost","1  ","Add","U",2014,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"46",2016,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","10","Surface-to-Air Missile System","2  ","8260C53101","MSE Missile","A","Weapon System Cost","2  ","Add","U",2014,"Total",690401,NA,NA,NA,NA,NA,92,NA,NA,NA
"47",2016,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","20","Air-To-Surface Missile System","3  ","1338C70000","Hellfire Sys Summary","A","Weapon System Cost","3  ","Add","U",2014,"Total",73890,NA,NA,NA,NA,NA,321,NA,NA,NA
"48",2016,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","20","Air-To-Surface Missile System","4  ","2605C70302","Joint Air-To-Ground Msls (JAGM)","C","Advance Procurement (CY)","4  ","Add","U",2014,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"49",2016,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","30","Anti-Tank/Assault Missile Sys","5  ","0648CC0007","Javelin (Aaws-M) System Summary","A","Weapon System Cost","5  ","Add","U",2014,"Total",110510,NA,NA,NA,NA,NA,564,NA,NA,NA
"50",2016,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","30","Anti-Tank/Assault Missile Sys","6  ","2104C59300","Tow 2 System Summary","A","Weapon System Cost","6  ","Add","U",2014,"Total",69281,NA,NA,NA,NA,NA,988,NA,NA,NA
"51",2016,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","30","Anti-Tank/Assault Missile Sys","6  ","2104C59300","Tow 2 System Summary","B","Less: Advance Procurement (PY)","6  ","Add","U",2014,"Total",-19927,NA,NA,NA,NA,NA,0,NA,NA,NA
"52",2016,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","30","Anti-Tank/Assault Missile Sys","7  ","2104C59300","Tow 2 System Summary","C","Advance Procurement (CY)","7  ","Add","U",2014,"Total",19965,NA,NA,NA,NA,NA,0,NA,NA,NA
"53",2016,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","30","Anti-Tank/Assault Missile Sys","8  ","6005C64400","Guided MLRS Rocket (GMLRS)","A","Weapon System Cost","8  ","Add","U",2014,"Total",273025,NA,NA,NA,NA,NA,2166,NA,NA,NA
"54",2016,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","30","Anti-Tank/Assault Missile Sys","9  ","6060C65405","MLRS Reduced Range Practice Rockets (RRPR)","A","Weapon System Cost","9  ","Add","U",2014,"Total",19022,NA,NA,NA,NA,NA,1614,NA,NA,NA
"55",2016,"2032A","Missile Procurement, Army","ARMY","02","Other Missiles","30","Anti-Tank/Assault Missile Sys","10 ","6472C98510","Army Tactical Msl Sys (ATACMS) - Sys Sum","A","Weapon System Cost","10 ","Add","U",2014,"Total",35600,NA,NA,NA,NA,NA,24,NA,NA,NA
"56",2016,"2032A","Missile Procurement, Army","ARMY","03","Modification of Missiles","10","Modifications","11 ","0962C50700","Patriot Mods","A","Weapon System Cost","11 ","Add","U",2014,"Total",326438,NA,NA,NA,NA,NA,0,NA,NA,NA
"57",2016,"2032A","Missile Procurement, Army","ARMY","03","Modification of Missiles","10","Modifications","12 ","1823CA6700","ATACMS MODS","A","Weapon System Cost","12 ","Add","U",2014,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"58",2016,"2032A","Missile Procurement, Army","ARMY","03","Modification of Missiles","10","Modifications","13 ","1824C57701","GMLRS MOD","A","Weapon System Cost","13 ","Add","U",2014,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"59",2016,"2032A","Missile Procurement, Army","ARMY","03","Modification of Missiles","10","Modifications","14 ","2684C20000","Stinger Mods","A","Weapon System Cost","14 ","Add","U",2014,"Total",37252,NA,NA,NA,NA,NA,0,NA,NA,NA
"60",2016,"2032A","Missile Procurement, Army","ARMY","03","Modification of Missiles","10","Modifications","15 ","2690CE8710","Avenger Mods","A","Weapon System Cost","15 ","Add","U",2014,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"61",2016,"2032A","Missile Procurement, Army","ARMY","03","Modification of Missiles","10","Modifications","16 ","3972C61700","Itas/Tow Mods","A","Weapon System Cost","16 ","Add","U",2014,"Total",20000,NA,NA,NA,NA,NA,0,NA,NA,NA
"62",2016,"2032A","Missile Procurement, Army","ARMY","03","Modification of Missiles","10","Modifications","17 ","6552C67500","MLRS Mods","A","Weapon System Cost","17 ","Add","U",2014,"Total",11571,NA,NA,NA,NA,NA,0,NA,NA,NA
"63",2016,"2032A","Missile Procurement, Army","ARMY","03","Modification of Missiles","10","Modifications","18 ","6580C67501","Himars Modifications","A","Weapon System Cost","18 ","Add","U",2014,"Total",6105,NA,NA,NA,NA,NA,0,NA,NA,NA
"64",2016,"2032A","Missile Procurement, Army","ARMY","04","Spares and Repair Parts","10","Spares and Repair Parts","19 ","1242CA0250","Spares and Repair Parts","A","Weapon System Cost","19 ","Add","U",2014,"Total",10474,NA,NA,NA,NA,NA,0,NA,NA,NA
"65",2016,"2032A","Missile Procurement, Army","ARMY","05","Support Equipment and Facilities","10","Support Equipment & Facilities","20 ","1242C93000","Air Defense Targets","A","Weapon System Cost","20 ","Add","U",2014,"Total",3530,NA,NA,NA,NA,NA,0,NA,NA,NA
"66",2016,"2032A","Missile Procurement, Army","ARMY","05","Support Equipment and Facilities","10","Support Equipment & Facilities","21 ","3902CL2000","Items Less Than $5.0m (Missiles)","A","Weapon System Cost","21 ","Add","U",2014,"Total",1748,NA,NA,NA,NA,NA,0,NA,NA,NA
"67",2016,"2032A","Missile Procurement, Army","ARMY","05","Support Equipment and Facilities","10","Support Equipment & Facilities","22 ","4662CA0100","Production Base Support","A","Weapon System Cost","22 ","Add","U",2014,"Total",4677,NA,NA,NA,NA,NA,0,NA,NA,NA
"68",2016,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","10","Tracked Combat Vehicles","1  ","7180G85100","Stryker Vehicle","A","Weapon System Cost","1  ","Add","U",2014,"Total",419100,NA,NA,NA,NA,NA,0,NA,NA,NA
"69",2016,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification of Tracked Combat Vehicles","2  ","0230GM0100","Stryker (MOD)","A","Weapon System Cost","2  ","Add","U",2014,"Total",20522,NA,NA,NA,NA,NA,0,NA,NA,NA
"70",2016,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification of Tracked Combat Vehicles","3  ","0363G85200","Stryker Upgrade","A","Weapon System Cost","3  ","Add","U",2014,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"71",2016,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification of Tracked Combat Vehicles","4  ","1284GZ2300","Fist Vehicle (MOD)","A","Weapon System Cost","4  ","Add","U",2014,"Total",29965,NA,NA,NA,NA,NA,0,NA,NA,NA
"72",2016,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification of Tracked Combat Vehicles","5  ","1678GZ2400","Bradley Program (MOD)","A","Weapon System Cost","5  ","Add","U",2014,"Total",158000,NA,NA,NA,NA,NA,0,NA,NA,NA
"73",2016,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification of Tracked Combat Vehicles","6  ","2072GA0400","Howitzer, Med Sp Ft 155mm M109a6 (MOD)","A","Weapon System Cost","6  ","Add","U",2014,"Total",4769,NA,NA,NA,NA,NA,0,NA,NA,NA
"74",2016,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification of Tracked Combat Vehicles","7  ","2073GZ0410","Paladin Integrated Management (PIM)","A","Weapon System Cost","7  ","Add","U",2014,"Total",199477,NA,NA,NA,NA,NA,8,NA,NA,NA
"75",2016,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification of Tracked Combat Vehicles","8  ","3700GA0570","Improved Recovery Vehicle (M88A2 Hercules)","A","Weapon System Cost","8  ","Add","U",2014,"Total",186031,NA,NA,NA,NA,NA,53,NA,NA,NA
"76",2016,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification of Tracked Combat Vehicles","9  ","4520GZ3250","Assault Bridge (Mod)","A","Weapon System Cost","9  ","Add","U",2014,"Total",2500,NA,NA,NA,NA,NA,0,NA,NA,NA
"77",2016,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification of Tracked Combat Vehicles","10 ","4872G82925","Assault Breacher Vehicle","A","Weapon System Cost","10 ","Add","U",2014,"Total",62951,NA,NA,NA,NA,NA,15,NA,NA,NA
"78",2016,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification of Tracked Combat Vehicles","11 ","5129G80571","M88 FOV MODS","A","Weapon System Cost","11 ","Add","U",2014,"Total",28469,NA,NA,NA,NA,NA,0,NA,NA,NA
"79",2016,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification of Tracked Combat Vehicles","12 ","5225GZ3001","Joint Assault Bridge","A","Weapon System Cost","12 ","Add","U",2014,"Total",2002,NA,NA,NA,NA,NA,0,NA,NA,NA
"80",2016,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification of Tracked Combat Vehicles","13 ","6406GA0700","M1 Abrams Tank (MOD)","A","Weapon System Cost","13 ","Add","U",2014,"Total",178100,NA,NA,NA,NA,NA,0,NA,NA,NA
"81",2016,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification of Tracked Combat Vehicles","14 ","6500GA0750","Abrams Upgrade Program","A","Weapon System Cost","14 ","Add","U",2014,"Total",90000,NA,NA,NA,NA,NA,0,NA,NA,NA
"82",2016,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","30","Support Equipment & Facilities","15 ","5960GA0050","Production Base Support (TCV-WTCV)","A","Weapon System Cost","15 ","Add","U",2014,"Total",1544,NA,NA,NA,NA,NA,0,NA,NA,NA
"83",2016,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","16 ","6580G02200","Mortar Systems","A","Weapon System Cost","16 ","Add","U",2014,"Total",5310,NA,NA,NA,NA,NA,0,NA,NA,NA
"84",2016,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","17 ","8181G01501","XM320 Grenade Launcher Module (GLM)","A","Weapon System Cost","17 ","Add","U",2014,"Total",22449,NA,NA,NA,NA,NA,6793,NA,NA,NA
"85",2016,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","18 ","8190G01506","Precision Sniper Rifle","A","Weapon System Cost","18 ","Add","U",2014,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"86",2016,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","19 ","8194G01507","Compact Semi-Automatic Sniper System","A","Weapon System Cost","19 ","Add","U",2014,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"87",2016,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","20 ","8201G13501","Carbine","A","Weapon System Cost","20 ","Add","U",2014,"Total",21254,NA,NA,NA,NA,NA,28964,NA,NA,NA
"88",2016,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","21 ","8310G04700","Common Remotely Operated Weapons Station","A","Weapon System Cost","21 ","Add","U",2014,"Total",47012,NA,NA,NA,NA,NA,0,NA,NA,NA
"89",2016,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","10","Weapons & Other Combat Vehicles","22 ","8635G15325","Handgun","A","Weapon System Cost","22 ","Add","U",2014,"Total",300,NA,NA,NA,NA,NA,0,NA,NA,NA
"90",2016,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","20","Mod of Weapons and Other Combat Veh","23 ","3000GB3000","MK-19 Grenade Machine Gun Mods","A","Weapon System Cost","23 ","Add","U",2014,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"91",2016,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","20","Mod of Weapons and Other Combat Veh","24 ","3005GZ1700","M777 Mods","A","Weapon System Cost","24 ","Add","U",2014,"Total",35800,NA,NA,NA,NA,NA,0,NA,NA,NA
"92",2016,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","20","Mod of Weapons and Other Combat Veh","25 ","3010GB3007","M4 Carbine Mods","A","Weapon System Cost","25 ","Add","U",2014,"Total",9900,NA,NA,NA,NA,NA,0,NA,NA,NA
"93",2016,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","20","Mod of Weapons and Other Combat Veh","26 ","3015GB4000","M2 50 Cal Machine Gun Mods","A","Weapon System Cost","26 ","Add","U",2014,"Total",28242,NA,NA,NA,NA,NA,0,NA,NA,NA
"94",2016,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","20","Mod of Weapons and Other Combat Veh","27 ","3020GZ1290","M249 Saw Machine Gun Mods","A","Weapon System Cost","27 ","Add","U",2014,"Total",7608,NA,NA,NA,NA,NA,0,NA,NA,NA
"95",2016,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","20","Mod of Weapons and Other Combat Veh","28 ","3030GZ1300","M240 Medium Machine Gun Mods","A","Weapon System Cost","28 ","Add","U",2014,"Total",2719,NA,NA,NA,NA,NA,0,NA,NA,NA
"96",2016,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","20","Mod of Weapons and Other Combat Veh","29 ","3181GZ1500","Sniper Rifles Modifications","A","Weapon System Cost","29 ","Add","U",2014,"Total",7017,NA,NA,NA,NA,NA,0,NA,NA,NA
"97",2016,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","20","Mod of Weapons and Other Combat Veh","30 ","3640GC0401","M119 Modifications","A","Weapon System Cost","30 ","Add","U",2014,"Total",22207,NA,NA,NA,NA,NA,0,NA,NA,NA
"98",2016,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","20","Mod of Weapons and Other Combat Veh","31 ","6456GZ2800","M16 Rifle Mods","A","Weapon System Cost","31 ","Add","U",2014,"Total",2136,NA,NA,NA,NA,NA,0,NA,NA,NA
"99",2016,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","20","Mod of Weapons and Other Combat Veh","32 ","7054G02100","Mortar Modification","A","Weapon System Cost","32 ","Add","U",2014,"Total",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"100",2016,"2033A","Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","20","Mod of Weapons and Other Combat Veh","33 ","9280GC0925","Modifications Less Than $5.0m (WOCV-WTCV)","A","Weapon System Cost","33 ","Add","U",2014,"Total",1569,NA,NA,NA,NA,NA,0,NA,NA,NA
