"ID","SourceFiscalYear","AccountDSI","TreasuryAgencyCode","MainAccountCode","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","BSA","BSAtitle","LineItem","LineItemTitle","CostType","CostTypeTitle","AddOrNonAdd","Classified","Category","FiscalYear","OriginType","PBtotal","PBtype","EnactedTotal","EnactedType","SpecialType","ActualTotal","QuantPBtotal","QuantPBtype","QuantEnactedTotal","QuantEnactedType","QuantSpecialTotal","QuantActualTotal"
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","24 ","10","Modification of Aircraft","3405A02112","EMARSS SEMA Mods (MIP)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,0,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","25 ","10","Modification of Aircraft","4194AA0270","Utility/Cargo Airplane Mods","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,11500,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","26 ","10","Modification of Aircraft","6949AA0480","Utility Helicopter Mods","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,88095,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","27 ","10","Modification of Aircraft","7542AZ2200","Kiowa Mods Warrior","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,108282,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","28 ","10","Modification of Aircraft","8658AA0712","Network and Mission Plan","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,59326,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","29 ","10","Modification of Aircraft","8659AA0723","Comms, Nav Surveillance","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,74613,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","30 ","10","Modification of Aircraft","8859AA0711","GATM Rollup","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,50382,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","31 ","10","Modification of Aircraft","9555A00018","RQ-7 UAV MODS","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,121902,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","32 ","10","Ground Support Avionics","3632AZ3504","Aircraft Survivability Equipment","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,47610,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","33 ","10","Ground Support Avionics","5044AZ3507","Survivability CM","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,5700,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","34 ","10","Ground Support Avionics","5397AZ3517","CMWS","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,103021,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","35 ","30","Other Support","0832AZ3000","Avionics Support Equipment","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,6809,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","36 ","30","Other Support","5212AZ3100","Common Ground Equipment","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,45999,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","37 ","30","Other Support","6380AZ3110","Aircrew Integrated Systems","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,45841,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","38 ","30","Other Support","6818AA0050","Air Traffic Control","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,94192,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","39 ","30","Other Support","8132AZ3300","Industrial Facilities","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,1615,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","04","Support Equipment and Facilities","40 ","30","Other Support","9154A50100","Launcher, 2.75 Rocket","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,2877,,,,,,273
,2016,"2032A",,,"Missile Procurement, Army","ARMY","02","Other Missiles","1  ","10","Surface-to-Air Missile System","7153C50016","Lower Tier Air and Missile Defense (AMD)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,0,,,,,,0
,2016,"2032A",,,"Missile Procurement, Army","ARMY","02","Other Missiles","2  ","10","Surface-to-Air Missile System","8260C53101","MSE Missile","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,690401,,,,,,92
,2016,"2032A",,,"Missile Procurement, Army","ARMY","02","Other Missiles","3  ","20","Air-To-Surface Missile System","1338C70000","Hellfire Sys Summary","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,73890,,,,,,321
,2016,"2032A",,,"Missile Procurement, Army","ARMY","02","Other Missiles","4  ","20","Air-To-Surface Missile System","2605C70302","Joint Air-To-Ground Msls (JAGM)","C","Advance Procurement (CY)","Add","U",,2014,"Total",,,,,,0,,,,,,0
,2016,"2032A",,,"Missile Procurement, Army","ARMY","02","Other Missiles","5  ","30","Anti-Tank/Assault Missile Sys","0648CC0007","Javelin (Aaws-M) System Summary","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,110510,,,,,,564
,2016,"2032A",,,"Missile Procurement, Army","ARMY","02","Other Missiles","6  ","30","Anti-Tank/Assault Missile Sys","2104C59300","Tow 2 System Summary","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,69281,,,,,,988
,2016,"2032A",,,"Missile Procurement, Army","ARMY","02","Other Missiles","6  ","30","Anti-Tank/Assault Missile Sys","2104C59300","Tow 2 System Summary","B","Less: Advance Procurement (PY)","Add","U",,2014,"Total",,,,,,-19927,,,,,,0
,2016,"2032A",,,"Missile Procurement, Army","ARMY","02","Other Missiles","7  ","30","Anti-Tank/Assault Missile Sys","2104C59300","Tow 2 System Summary","C","Advance Procurement (CY)","Add","U",,2014,"Total",,,,,,19965,,,,,,0
,2016,"2032A",,,"Missile Procurement, Army","ARMY","02","Other Missiles","8  ","30","Anti-Tank/Assault Missile Sys","6005C64400","Guided MLRS Rocket (GMLRS)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,273025,,,,,,2166
,2016,"2032A",,,"Missile Procurement, Army","ARMY","02","Other Missiles","9  ","30","Anti-Tank/Assault Missile Sys","6060C65405","MLRS Reduced Range Practice Rockets (RRPR)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,19022,,,,,,1614
,2016,"2032A",,,"Missile Procurement, Army","ARMY","02","Other Missiles","10 ","30","Anti-Tank/Assault Missile Sys","6472C98510","Army Tactical Msl Sys (ATACMS) - Sys Sum","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,35600,,,,,,24
,2016,"2032A",,,"Missile Procurement, Army","ARMY","03","Modification of Missiles","11 ","10","Modifications","0962C50700","Patriot Mods","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,326438,,,,,,0
,2016,"2032A",,,"Missile Procurement, Army","ARMY","03","Modification of Missiles","12 ","10","Modifications","1823CA6700","ATACMS MODS","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,0,,,,,,0
,2016,"2032A",,,"Missile Procurement, Army","ARMY","03","Modification of Missiles","13 ","10","Modifications","1824C57701","GMLRS MOD","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,0,,,,,,0
,2016,"2032A",,,"Missile Procurement, Army","ARMY","03","Modification of Missiles","14 ","10","Modifications","2684C20000","Stinger Mods","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,37252,,,,,,0
,2016,"2032A",,,"Missile Procurement, Army","ARMY","03","Modification of Missiles","15 ","10","Modifications","2690CE8710","Avenger Mods","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,0,,,,,,0
,2016,"2032A",,,"Missile Procurement, Army","ARMY","03","Modification of Missiles","16 ","10","Modifications","3972C61700","Itas/Tow Mods","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,20000,,,,,,0
,2016,"2032A",,,"Missile Procurement, Army","ARMY","03","Modification of Missiles","17 ","10","Modifications","6552C67500","MLRS Mods","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,11571,,,,,,0
,2016,"2032A",,,"Missile Procurement, Army","ARMY","03","Modification of Missiles","18 ","10","Modifications","6580C67501","Himars Modifications","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,6105,,,,,,0
,2016,"2032A",,,"Missile Procurement, Army","ARMY","04","Spares and Repair Parts","19 ","10","Spares and Repair Parts","1242CA0250","Spares and Repair Parts","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,10474,,,,,,0
,2016,"2032A",,,"Missile Procurement, Army","ARMY","05","Support Equipment and Facilities","20 ","10","Support Equipment & Facilities","1242C93000","Air Defense Targets","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,3530,,,,,,0
,2016,"2032A",,,"Missile Procurement, Army","ARMY","05","Support Equipment and Facilities","21 ","10","Support Equipment & Facilities","3902CL2000","Items Less Than $5.0m (Missiles)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,1748,,,,,,0
,2016,"2032A",,,"Missile Procurement, Army","ARMY","05","Support Equipment and Facilities","22 ","10","Support Equipment & Facilities","4662CA0100","Production Base Support","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,4677,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","1  ","10","Tracked Combat Vehicles","7180G85100","Stryker Vehicle","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,419100,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","2  ","20","Modification of Tracked Combat Vehicles","0230GM0100","Stryker (MOD)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,20522,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","3  ","20","Modification of Tracked Combat Vehicles","0363G85200","Stryker Upgrade","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,0,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","4  ","20","Modification of Tracked Combat Vehicles","1284GZ2300","Fist Vehicle (MOD)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,29965,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","5  ","20","Modification of Tracked Combat Vehicles","1678GZ2400","Bradley Program (MOD)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,158000,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","6  ","20","Modification of Tracked Combat Vehicles","2072GA0400","Howitzer, Med Sp Ft 155mm M109a6 (MOD)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,4769,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","7  ","20","Modification of Tracked Combat Vehicles","2073GZ0410","Paladin Integrated Management (PIM)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,199477,,,,,,8
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","8  ","20","Modification of Tracked Combat Vehicles","3700GA0570","Improved Recovery Vehicle (M88A2 Hercules)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,186031,,,,,,53
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","9  ","20","Modification of Tracked Combat Vehicles","4520GZ3250","Assault Bridge (Mod)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,2500,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","10 ","20","Modification of Tracked Combat Vehicles","4872G82925","Assault Breacher Vehicle","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,62951,,,,,,15
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","11 ","20","Modification of Tracked Combat Vehicles","5129G80571","M88 FOV MODS","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,28469,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","12 ","20","Modification of Tracked Combat Vehicles","5225GZ3001","Joint Assault Bridge","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,2002,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","13 ","20","Modification of Tracked Combat Vehicles","6406GA0700","M1 Abrams Tank (MOD)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,178100,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","14 ","20","Modification of Tracked Combat Vehicles","6500GA0750","Abrams Upgrade Program","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,90000,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","15 ","30","Support Equipment & Facilities","5960GA0050","Production Base Support (TCV-WTCV)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,1544,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","16 ","10","Weapons & Other Combat Vehicles","6580G02200","Mortar Systems","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,5310,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","17 ","10","Weapons & Other Combat Vehicles","8181G01501","XM320 Grenade Launcher Module (GLM)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,22449,,,,,,6793
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","18 ","10","Weapons & Other Combat Vehicles","8190G01506","Precision Sniper Rifle","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,0,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","19 ","10","Weapons & Other Combat Vehicles","8194G01507","Compact Semi-Automatic Sniper System","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,0,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","20 ","10","Weapons & Other Combat Vehicles","8201G13501","Carbine","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,21254,,,,,,28964
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","21 ","10","Weapons & Other Combat Vehicles","8310G04700","Common Remotely Operated Weapons Station","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,47012,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","22 ","10","Weapons & Other Combat Vehicles","8635G15325","Handgun","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,300,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","23 ","20","Mod of Weapons and Other Combat Veh","3000GB3000","MK-19 Grenade Machine Gun Mods","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,0,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","24 ","20","Mod of Weapons and Other Combat Veh","3005GZ1700","M777 Mods","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,35800,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","25 ","20","Mod of Weapons and Other Combat Veh","3010GB3007","M4 Carbine Mods","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,9900,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","26 ","20","Mod of Weapons and Other Combat Veh","3015GB4000","M2 50 Cal Machine Gun Mods","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,28242,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","27 ","20","Mod of Weapons and Other Combat Veh","3020GZ1290","M249 Saw Machine Gun Mods","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,7608,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","28 ","20","Mod of Weapons and Other Combat Veh","3030GZ1300","M240 Medium Machine Gun Mods","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,2719,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","29 ","20","Mod of Weapons and Other Combat Veh","3181GZ1500","Sniper Rifles Modifications","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,7017,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","30 ","20","Mod of Weapons and Other Combat Veh","3640GC0401","M119 Modifications","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,22207,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","31 ","20","Mod of Weapons and Other Combat Veh","6456GZ2800","M16 Rifle Mods","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,2136,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","32 ","20","Mod of Weapons and Other Combat Veh","7054G02100","Mortar Modification","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,0,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","33 ","20","Mod of Weapons and Other Combat Veh","9280GC0925","Modifications Less Than $5.0m (WOCV-WTCV)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,1569,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","34 ","30","Support Equipment & Facilities","1862GL3200","Items Less Than $5.0m (WOCV-WTCV)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,2024,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","35 ","30","Support Equipment & Facilities","3270GC0050","Production Base Support (WOCV-WTCV)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,10108,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","36 ","30","Support Equipment & Facilities","3400GC0075","Industrial Preparedness","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,459,,,,,,0
,2016,"2033A",,,"Procurement of W&TCV, Army","ARMY","02","Weapons and Other Combat Vehicles","37 ","30","Support Equipment & Facilities","4010GC0076","Small Arms Equipment (Soldier Enh Prog)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,1267,,,,,,0
,2016,"2034A",,,"Procurement of Ammunition, Army","ARMY","01","Ammunition","1  ","30","Small/Medium Cal Ammunition","0132E00700","Ctg, 5.56mm, All Types","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,73254,,,,,,0
,2016,"2034A",,,"Procurement of Ammunition, Army","ARMY","01","Ammunition","2  ","30","Small/Medium Cal Ammunition","0612E02000","CTG, 7.62mm, All Types","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,53571,,,,,,0
,2016,"2034A",,,"Procurement of Ammunition, Army","ARMY","01","Ammunition","3  ","30","Small/Medium Cal Ammunition","1450EA3000","CTG, Handgun, All Types","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,11358,,,,,,0
,2016,"2034A",,,"Procurement of Ammunition, Army","ARMY","01","Ammunition","4  ","30","Small/Medium Cal Ammunition","1722E08000","CTG, .50 Cal, All Types","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,58351,,,,,,0
,2016,"2034A",,,"Procurement of Ammunition, Army","ARMY","01","Ammunition","5  ","30","Small/Medium Cal Ammunition","2650E08200","CTG, 25mm, All Types","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,6197,,,,,,0
,2016,"2034A",,,"Procurement of Ammunition, Army","ARMY","01","Ammunition","6  ","30","Small/Medium Cal Ammunition","2938ER8120","CTG, 30mm, All Types","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,110033,,,,,,0
,2016,"2034A",,,"Procurement of Ammunition, Army","ARMY","01","Ammunition","7  ","30","Small/Medium Cal Ammunition","3222ER8001","CTG, 40mm, All Types","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,55780,,,,,,0
,2016,"2034A",,,"Procurement of Ammunition, Army","ARMY","01","Ammunition","8  ","33","Mortar Ammunition","0050E89600","60MM Mortar, All Types","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,51629,,,,,,0
